detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879290	23208	54319	40	10,91	0	2022-07-13 10:27:28.583
879291	23208	54319	40	10,91	0	2022-07-13 10:27:33.613
879292	23208	54319	40	11,01	1	2022-07-13 10:27:38.630
879293	23208	54319	40	10,92	0	2022-07-13 10:27:43.647
879294	23208	54319	40	9,19	1	2022-07-13 10:27:48.677
879295	23208	54319	40	7,43	1	2022-07-13 10:27:53.710
879296	23208	54319	40	5	1	2022-07-13 10:27:58.723
879297	23208	54319	40	4,1	1	2022-07-13 10:28:03.740
879298	23208	54319	40	5	1	2022-07-13 10:28:08.770
879299	23208	54319	39	4,98	1	2022-07-13 10:28:13.803
879300	23208	54319	40	5,28	1	2022-07-13 10:28:18.833
879301	23208	54319	39	5,59	1	2022-07-13 10:28:23.850
879302	23208	54319	40	5,46	1	2022-07-13 10:28:28.880
879303	23208	54319	40	5,46	0	2022-07-13 10:28:33.897
879304	23208	54319	40	5,58	1	2022-07-13 10:28:38.930
879305	23208	54319	40	5,5	1	2022-07-13 10:28:43.960
879306	23208	54319	40	5,54	0	2022-07-13 10:28:48.990
879307	23208	54319	40	5,52	0	2022-07-13 10:28:54.007
879308	23208	54319	40	5,5	0	2022-07-13 10:28:59.040
879309	23208	54319	40	5,45	1	2022-07-13 10:29:04.070
879310	23208	54319	40	5,55	0	2022-07-13 10:29:09.070
879311	23208	54319	40	5,51	0	2022-07-13 10:29:14.133
879312	23208	54319	40	5,5	1	2022-07-13 10:29:19.133
879313	23208	54319	40	5,57	1	2022-07-13 10:29:24.180
879314	23208	54319	40	5,49	1	2022-07-13 10:29:29.197
879315	23208	54319	40	5,49	0	2022-07-13 10:29:34.210
879316	23208	54319	40	5,54	0	2022-07-13 10:29:39.273
879317	23208	54319	39	5,55	0	2022-07-13 10:29:44.243
879318	23208	54319	40	5,53	0	2022-07-13 10:29:49.273
879319	23208	54319	40	5,54	0	2022-07-13 10:29:54.307
879320	23208	54319	40	5,54	0	2022-07-13 10:29:59.320
879321	23208	54319	39	5,53	1	2022-07-13 10:30:04.370
879322	23208	54319	40	5,5	0	2022-07-13 10:30:09.383
879323	23208	54319	40	5,45	0	2022-07-13 10:30:14.400
879324	23208	54319	41	5,46	0	2022-07-13 10:30:19.413
879325	23208	54319	40	5,5	0	2022-07-13 10:30:24.447
879326	23208	54319	40	5,5	0	2022-07-13 10:30:29.463
879327	23208	54319	39	5,53	0	2022-07-13 10:30:34.493
879328	23208	54319	40	5,43	0	2022-07-13 10:30:39.523
879329	23208	54319	40	5,45	0	2022-07-13 10:30:44.557
879330	23208	54319	40	5,48	0	2022-07-13 10:30:49.570
879331	23208	54319	40	5,52	0	2022-07-13 10:30:54.603
879332	23208	54319	40	5,45	0	2022-07-13 10:30:59.633
879333	23208	54319	40	5,46	0	2022-07-13 10:31:04.650
879334	23208	54319	41	5,46	0	2022-07-13 10:31:09.667
879335	23208	54319	40	5,43	0	2022-07-13 10:31:14.697
879336	23208	54319	40	5,55	0	2022-07-13 10:31:19.730
879337	23208	54319	40	5,52	0	2022-07-13 10:31:24.743
879338	23208	54319	40	5,45	0	2022-07-13 10:31:29.777
879339	23208	54319	40	5,48	0	2022-07-13 10:31:34.807
879340	23208	54319	40	5,5	0	2022-07-13 10:31:39.823
879341	23208	54319	41	5,52	0	2022-07-13 10:31:44.853
879342	23208	54319	39	5,47	0	2022-07-13 10:31:49.870
879343	23208	54319	40	5,53	0	2022-07-13 10:31:54.887
879344	23208	54319	40	5,49	0	2022-07-13 10:31:59.917
879345	23208	54319	40	5,52	0	2022-07-13 10:32:04.963
879346	23208	54319	40	5,51	0	2022-07-13 10:32:09.963
879347	23208	54319	40	5,45	0	2022-07-13 10:32:15.010
879348	23208	54319	41	5,53	0	2022-07-13 10:32:20.027
879349	23208	54319	41	5,52	0	2022-07-13 10:32:25.043
879350	23208	54319	40	5,55	0	2022-07-13 10:32:30.073
879351	23208	54319	40	5,43	1	2022-07-13 10:32:35.090
879352	23208	54319	40	6,84	1	2022-07-13 10:32:40.120
