detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp	date	time
879214	23208	54319	40	5,53	0	2022-07-13 10:21:06.683	2022-07-13	10:21:06
879215	23208	54319	40	5,51	0	2022-07-13 10:21:11.700	2022-07-13	10:21:11
879216	23208	54319	39	5,57	0	2022-07-13 10:21:16.730	2022-07-13	10:21:16
879217	23208	54319	40	5,52	1	2022-07-13 10:21:21.760	2022-07-13	10:21:21
879218	23208	54319	40	5,53	0	2022-07-13 10:21:26.777	2022-07-13	10:21:26
879219	23208	54319	40	5,53	1	2022-07-13 10:21:31.793	2022-07-13	10:21:31
879220	23208	54319	40	5,56	0	2022-07-13 10:21:36.823	2022-07-13	10:21:36
879221	23208	54319	40	5,59	0	2022-07-13 10:21:41.857	2022-07-13	10:21:41
879222	23208	54319	39	5,54	0	2022-07-13 10:21:46.870	2022-07-13	10:21:46
879223	23208	54319	40	5,53	0	2022-07-13 10:21:51.903	2022-07-13	10:21:51
879224	23208	54319	40	5,64	0	2022-07-13 10:21:56.937	2022-07-13	10:21:56
879225	23208	54319	39	5,55	0	2022-07-13 10:22:01.950	2022-07-13	10:22:01
879226	23208	54319	40	5,56	0	2022-07-13 10:22:06.983	2022-07-13	10:22:06
879227	23208	54319	39	5,51	0	2022-07-13 10:22:12.000	2022-07-13	10:22:12
879228	23208	54319	39	5,53	0	2022-07-13 10:22:17.030	2022-07-13	10:22:17
879229	23208	54319	40	5,54	0	2022-07-13 10:22:22.060	2022-07-13	10:22:22
879230	23208	54319	40	5,57	1	2022-07-13 10:22:27.077	2022-07-13	10:22:27
879231	23208	54319	40	5,54	0	2022-07-13 10:22:32.110	2022-07-13	10:22:32
879232	23208	54319	39	5,49	0	2022-07-13 10:22:37.123	2022-07-13	10:22:37
879233	23208	54319	40	5,51	1	2022-07-13 10:22:42.157	2022-07-13	10:22:42
879234	23208	54319	40	5,7	0	2022-07-13 10:22:47.187	2022-07-13	10:22:47
879235	23208	54319	40	5,48	0	2022-07-13 10:22:52.203	2022-07-13	10:22:52
879236	23208	54319	39	5,48	0	2022-07-13 10:22:57.217	2022-07-13	10:22:57
879237	23208	54319	40	5,56	0	2022-07-13 10:23:02.250	2022-07-13	10:23:02
879238	23208	54319	40	5,53	1	2022-07-13 10:23:07.263	2022-07-13	10:23:07
879239	23208	54319	40	5,54	0	2022-07-13 10:23:12.310	2022-07-13	10:23:12
879240	23208	54319	40	5,58	0	2022-07-13 10:23:17.327	2022-07-13	10:23:17
879241	23208	54319	40	5,55	1	2022-07-13 10:23:22.343	2022-07-13	10:23:22
879242	23208	54319	39	5,57	0	2022-07-13 10:23:27.390	2022-07-13	10:23:27
879243	23208	54319	40	5,53	1	2022-07-13 10:23:32.407	2022-07-13	10:23:32
879244	23208	54319	40	5,58	1	2022-07-13 10:23:37.437	2022-07-13	10:23:37
